i_b,function_name,mse,sweep,parameters
1.3524,Gaussian Mixture,2.611576928757131e-05,2,"[4.460299509680541, -1.7921979947541138, 3.0542445199794885, 0.6258305361534328, 0.3269684127136769, 0.02795144278218637, 106.72314709472433, 0.3498002444622292, 0.4125851135076629, -4.1807576234769686, -0.9975266453247964]"
1.4024,Gaussian Mixture,4.461283242562786e-05,2,"[0.23633636042572131, 0.4329573305672385, 0.5274275942759266, 0.4728567376809812, 0.10648905737478354, -0.7240984110678117, 305.07584666656726, 0.3621496465331323, -0.012603499364985674, -0.07217150512475295, 0.0065347957776714875]"
1.4524,Gaussian Mixture,6.296709761954844e-05,2,"[0.25137886689249817, 0.3651828379998965, 0.5284962224153935, 0.4661786958440698, 0.11531208008883588, -0.6005564324269401, 273.1869212713361, 0.34169777835769793, -0.0064335859505047065, -0.021791832604926457, -0.0035639025859069643]"
1.5024,Gaussian Mixture,7.920687494333833e-05,2,"[0.45987940757620416, -0.11065312475577993, 0.742932017178216, 0.4594896049522472, 0.12564946756154163, 0.1565995939377978, 242.94532254158622, 0.31899361136400406, -0.025122359477096342, -0.023599731109540025, -0.005880585236135202]"
1.5524,Gaussian Mixture,0.0001007251848932,2,"[0.2832628713549429, 0.39395822263185254, 0.5423647287803943, 0.45346499578734134, 0.1366489996910677, -0.6009648978779527, 207.05165257107956, 0.29705507564199746, -0.03581241654828238, -0.011234431133438005, 0.00416935369682308]"
1.6024,Gaussian Mixture,0.0001203942301799,1,"[2.2061987432306873, -1.453308882409911, 1.077899046708832, 0.4496064305189891, 0.1562259100027678, 0.6629951590296335, 174.42642834698802, 0.27243095254489413, -0.0048764030102525936, -0.020909075036710516, -0.02933037325137611]"
1.6524,Gaussian Mixture,0.000154442837811,1,"[0.5105345700256148, -0.03900571889707892, 0.6601382912411322, 0.44666528102743047, 0.16467204452635037, 0.0873739181072267, 158.81502063730375, 0.25109587189752625, 0.003949352346805732, -0.03664523655539864, -0.007066299392650882]"
1.7024,Gaussian Mixture,0.0001662995346123,1,"[1.2697906839036404, -0.8704327310677562, 0.9451010053603051, 0.43969892684802053, 0.1849051479164699, 0.5259382498076823, 130.4453678725613, 0.22593566876025958, -0.02005403689674137, 0.0039458277719218345, -0.027308395661913065]"
1.7524,Gaussian Mixture,0.0001958484062924,1,"[4.2246631472936205, -2.098643587143414, 1.2486542004714867, 0.43726636320100887, 0.20751299166400627, 0.7065257676619625, 96.46959283111033, 0.20229659434286879, -0.03473178510434094, 0.00941417529680965, -0.024330651954351037]"
1.8024,Gaussian Mixture,0.0002135817485395,2,"[0.40296456858476626, 0.4080095726538554, 0.5884435381494071, 0.43779530105099146, 0.2172741721579261, -0.5417328076451242, 114.97301624921693, 0.1774129415481882, -0.06977738573095121, -0.08096659259077513, 0.0011965180112964223]"
1.8524,Gaussian Mixture,0.0002943202562164,2,"[0.3368717947940585, 0.3673479604248089, 0.5074597091248969, 0.4098626663206375, 0.21074913935029635, -0.6469455922211624, 125.31490938089578, 0.15527217936932242, -0.03592627381831978, 0.09927385130177242, -0.0053206069407035015]"
1.9024,Gaussian Mixture,0.0004744039615616,1,"[0.6775992002771366, -0.23739237632653604, 0.7744095397996802, 0.4088245781877772, 0.23550019250277088, 0.10289591806751208, 42.565738737377956, 0.1268487870417324, -0.00588017162694764, -0.0035795967728366844, -0.00945021063143129]"
1.9524,Gaussian Mixture,0.0003897647256962,2,"[0.4727424645733701, 0.21233646718458277, 0.5568756933869912, 0.4188386128623912, 0.24827202667812392, -0.3095981366581493, 72.33480462031793, 0.09349138958584358, 0.006239623276070871, -0.05252439882732973, 0.0007426373991561019]"
2.0024,Gaussian Mixture,0.0004827897064387,2,"[0.3183675193730303, 0.5350364141792108, 0.4237467726453815, 0.41038099673034667, 0.27228491624603246, -1.4119721077557958, 42.20306235659585, 0.04600075568525141, -0.009687640113186072, -0.010040320522303414, 0.0019016145784837935]"
2.0524,Gaussian Mixture,0.0008936322992667,2,"[0.44099793247573504, 0.3530949435651925, 0.48766680741647217, 0.39747500423997895, 0.3414883846211594, -0.5700536025454954, 8.78791732795317, -0.059352311043533106, -0.011950751148246435, -0.02097813432420431, 0.00047161529706747575]"
1.3524,Sigmoid Mixture,0.0001073279636329,2,"[-70.60564561244922, -9688.618621181557, -4118.806471300901, -911.9325989904091, 0.27789435840376925, -0.012212275231732513, 0.1813238658819845, -2.0585589384884964, -7.0138302306529425, 4.907408069662413]"
1.4024,Sigmoid Mixture,0.0001593916967976,1,"[-26.31861078831119, -10851.803064667201, -7980.827037194105, -176.34545712787656, 0.23416288026907492, -0.020474430646941072, 0.16706550637237572, 0.2557929291756053, -1.5072736633815222, 3.3859353121900786]"
1.4524,Sigmoid Mixture,0.0001877633767435,1,"[-21.161524062327956, -3107.39416142789, -6657.690875758606, -33.49479503173741, 0.2677080461352299, -0.0161299967241161, 0.11707234249757509, -1.0957537836805713, -0.8034590389077698, 4.509618255887122]"
1.5024,Sigmoid Mixture,0.0002948452893178,2,"[-86.93521349954027, -7419.785575373103, -3569.480364808579, -113.90717723340745, 0.11299204982335008, -0.03552634685872461, 0.1435669461413282, 0.8771884565507981, -7.505282160925001, 7.7048111119260625]"
1.5524,Sigmoid Mixture,0.0003704465052578,2,"[-70.2141018436053, -6560.916374895087, -3207.2653098543224, -340.7082918886073, -0.0019465235818238251, -0.045164653630047354, 0.1376646433055384, 0.7181994550142896, -2.548353736675633, 5.224404832233802]"
1.6024,Sigmoid Mixture,0.0003949599049519,1,"[-80.91648774259386, -14687.122963502403, -7470.272495756706, -20.96102338630714, 0.16258262957590047, -0.027531690764766963, 0.12185088644104353, -0.7865107937330905, -3.8973523329368294, 6.460953917619967]"
1.6524,Sigmoid Mixture,0.0004644722503144,2,"[-112.77464658589128, -9115.790221223591, -4365.092057486978, -195.4215682846071, 0.04708433236798168, -0.03314960744080355, 0.09790821331220578, -0.7731563484343884, -2.240476130330088, 7.251285989791012]"
1.7024,Sigmoid Mixture,0.0005898176459595,1,"[-68.88213667260217, -2405.716899841499, -6670.542616815673, -19.26725050996952, 0.03449211548350428, -0.05546753140647804, 0.04426238610914471, 0.17416652101307908, -2.215522541705065, 15.353453201498104]"
1.7524,Sigmoid Mixture,0.0006819365080446,1,"[-35.62008185323313, -4379.275870589095, -5148.5005594647155, -57.75704409545032, 0.01930847773476091, -0.03881747901813497, 0.12422023439221033, -0.680400814474966, -0.43767545361368554, 5.881729109736144]"
1.8024,Sigmoid Mixture,0.0007828468224033,1,"[-52.25351728973193, -1641.4270454800378, -7055.500049701928, -36.632623925633, 0.020800359673781355, -0.03650056654148398, 0.06013726060101897, -0.8790054087490256, -1.8023666248331982, 12.572338117745819]"
1.8524,Sigmoid Mixture,0.0009219924104399,1,"[-55.197074542775866, -4442.046173965419, -3966.0232323314776, -38.15710105087685, -0.009145133972624954, -0.03759703765268889, 0.10697308623737392, -0.903604008923625, -0.7381939088761635, 7.468725187349028]"
1.9024,Sigmoid Mixture,0.0010823113843798,1,"[-49.467926750924136, -2921.1292762193443, -4251.150497556899, -34.41219058695994, -0.12441875939342599, -0.06249770440573445, 0.09187085969532449, -0.2709338108606346, -1.0967180602377131, 9.22523826773197]"
1.9524,Sigmoid Mixture,0.0012912687379866,1,"[-57.330524482553145, -2285.8978263728795, -2421.0360175196583, -26.722425345611782, -0.123192043320063, -0.056448095359384706, 0.0975495605284542, -0.6188576316359591, -0.09351917858986096, 8.555938053541713]"
2.0024,Sigmoid Mixture,0.0017609485657885,1,"[-49.287760776547834, -2776.6625514401103, -8411.168765485878, -5.964878428130963, -0.10278163215423013, -0.06388101520146552, 0.07604038006474184, -0.7864401167439876, -0.8143969432274267, 11.107485684025985]"
2.0524,Sigmoid Mixture,0.003157622879371,1,"[-53.45308674128309, -16.688521819602094, -30.609427629224037, -25.54999675051836, -0.15079980317539546, -0.03505708438147634, 0.13605138252144405, -0.6742552559962387, -2.589557248335203, 11.96209778575848]"
